,0
2020-05-16,-0.6911053086323381
2020-05-17,-1.4599014339307712
2020-05-18,-1.6659798713745986
2020-05-19,-1.1635574833688986
2020-05-20,-1.3763180661883683
2020-05-21,-1.2774716465415996
2020-05-22,-1.6867675483084055
2020-05-23,-2.9772026049617284
2020-05-24,-3.705935298539459
2020-05-25,-4.489911627347911
2020-05-26,-5.503745373083686
2020-05-27,-5.425803044298123
2020-05-28,-6.266757011565031
2020-05-29,-5.246597775341137
2020-05-30,-4.298681606026996
2020-05-31,-4.003102410245144
2020-06-01,-4.645597512577587
2020-06-02,-3.8891355201140465
2020-06-03,-3.4339160769770376
2020-06-04,-2.55692104665969
2020-06-05,-1.1007250032582738
2020-06-06,-0.7658510482472729
2020-06-07,-0.46218306379156965
2020-06-08,-0.4045920506714583
2020-06-09,0.5147611357136903
2020-06-10,0.6431847025908811
2020-06-11,0.12715981738816684
2020-06-12,0.4291264495510249
2020-06-13,-0.33272241548161924
2020-06-14,-0.6422736790886854
2020-06-15,0.17802832839919014
2020-06-16,-0.7006557273174303
2020-06-17,-0.8676284490385455
2020-06-18,-1.146039287136147
2020-06-19,0.23674635278263922
2020-06-20,-2.128565296178677
2020-06-21,-3.5931791701624096
2020-06-22,-3.8261635078354463
2020-06-23,-4.9615446761509165
2020-06-24,-4.6143545897402145
2020-06-25,-5.127292987273442
2020-06-26,-2.3481730190576493
2020-06-27,-1.3534694839646253
2020-06-28,-1.5376786412842631
2020-06-29,-3.0756056088055264
2020-06-30,-3.364390904584793
2020-07-01,-4.824575650526337
2020-07-02,-5.065599197877082
2020-07-03,-4.9828553530585245
2020-07-04,-5.3322604274412235
2020-07-05,-7.147308451697174
2020-07-06,-5.9674204840078
2020-07-07,-5.060069928460929
2020-07-08,-4.452539400065374
2020-07-09,-5.655890668897996
2020-07-10,-5.493574113608611
2020-07-11,-5.7751706588129545
2020-07-12,-6.496829220713837
2020-07-13,-6.365122127223335
2020-07-14,-6.282209875074892
2020-07-15,-5.2086589219634645
2020-07-16,-5.922214614056316
2020-07-17,-6.462725814347497
2020-07-18,-7.055084338399082
2020-07-19,-6.34013446031913
2020-07-20,-8.377372838941424
2020-07-21,-7.286912440949962
2020-07-22,-4.339540584742697
2020-07-23,-4.15002074237107
2020-07-24,-4.538837764295092
2020-07-25,-5.332279042760737
2020-07-26,-4.093505582868374
2020-07-27,-3.0480718011455448
2020-07-28,-2.887097740091387
2020-07-29,-2.6960629987084617
2020-07-30,-2.0847440482252146
2020-07-31,-3.813799273089292
2020-08-01,-2.7981363577111935
2020-08-02,-2.94856317660415
2020-08-03,-3.453321361328889
2020-08-04,-3.73955438723437
2020-08-05,-4.0608799842369345
2020-08-06,-3.811614890176613
2020-08-07,-2.242681092825623
2020-08-08,-2.202357054730283
2020-08-09,-3.2153709602355356
2020-08-10,-3.3982853057334443
2020-08-11,-3.976900941323568
2020-08-12,-4.347400619661706
2020-08-13,-3.7724182362880017
2020-08-14,-2.9551501527857975
2020-08-15,-3.5287921993081506
2020-08-16,-4.844334381194997
2020-08-17,-4.028323710212355
2020-08-18,-3.977761927506065
2020-08-19,-3.9482557271477523
2020-08-20,-5.489239559576917
2020-08-21,-5.911029503658559
2020-08-22,-6.693545120787
2020-08-23,-7.335853499008472
2020-08-24,-7.5921538666982755
2020-08-25,-5.738734381533518
2020-08-26,-4.7704438295307865
2020-08-27,-5.268652545245312
2020-08-28,-5.844644918943631
2020-08-29,-7.016873183916157
2020-08-30,-6.8041078144893845
2020-08-31,-5.539232007353437
2020-09-01,-6.727648995457859
2020-09-02,-6.491821935162253
2020-09-03,-6.970647876264233
2020-09-04,-5.668617792873966
2020-09-05,-5.286324533887538
2020-09-06,-4.358073441994537
2020-09-07,-2.8296640718688515
2020-09-08,-3.0280542256544867
2020-09-09,-2.6811443603135006
2020-09-10,-3.1042876790114997
2020-09-11,-1.503053213118564
2020-09-12,-3.374870545011224
2020-09-13,-3.3963239366865823
2020-09-14,-3.5705943951657724
2020-09-15,-4.813752921896893
2020-09-16,-3.2921848449787787
2020-09-17,-0.8196454903133117
2020-09-18,-1.0674234361869008
2020-09-19,-1.0533160612915249
2020-09-20,-1.068508139656388
2020-09-21,-2.1009041192404725
2020-09-22,-3.7986600359974654
2020-09-23,-1.5452752591416967
2020-09-24,-1.4287865914090905
2020-09-25,-1.6018134008739584
2020-09-26,-3.102827855787628
2020-09-27,-3.1705685958227066
2020-09-28,-1.225808820542601
2020-09-29,-0.8847078608702048
2020-09-30,0.6804404808591566
2020-10-01,1.8465402495771819
2020-10-02,3.0386298454210285
2020-10-03,3.4079076283748715
2020-10-04,2.2698140236605147
2020-10-05,2.258825322019986
2020-10-06,3.2480408078600145
2020-10-07,3.035530462674531
2020-10-08,4.161962606073056
2020-10-09,4.461410724391102
2020-10-10,4.1713603120735945
2020-10-11,4.793768722758425
2020-10-12,4.256762202121551
2020-10-13,3.9195341557435723
2020-10-14,5.2794596694010725
2020-10-15,4.11223870856926
2020-10-16,5.25770140992547
2020-10-17,6.754240182081139
2020-10-18,6.20351661060166
2020-10-19,7.5525859507391155
2020-10-20,6.378772404687281
2020-10-21,8.24177415942722
2020-10-22,8.037446308142341
2020-10-23,7.28524130059053
2020-10-24,9.364657095190763
2020-10-25,8.266340753203965
2020-10-26,8.58793086823226
2020-10-27,7.7963643666261815
2020-10-28,9.560345564531014
2020-10-29,11.30910156304237
2020-10-30,12.708776930806476
2020-10-31,11.021546268393744
2020-11-01,12.29836433949311
2020-11-02,12.335194837354317
2020-11-03,12.122103396675916
2020-11-04,13.6494625413991
2020-11-05,12.449653988252576
2020-11-06,13.49506572727165
2020-11-07,14.60398134812455
2020-11-08,14.894198763871795
2020-11-09,13.754027770288863
2020-11-10,13.446227092088398
2020-11-11,13.707861509455046
2020-11-12,13.73447289742446
2020-11-13,13.677781645650203
2020-11-14,14.54551188006433
2020-11-15,12.986385135804014
2020-11-16,14.05733213574496
2020-11-17,14.900705733966767
2020-11-18,16.21835508969973
2020-11-19,14.44986507047078
2020-11-20,15.39931963466967
2020-11-21,13.899050870203666
2020-11-22,14.075405958414859
2020-11-23,14.09525809926265
2020-11-24,14.259517560918935
2020-11-25,14.250452467168126
2020-11-26,14.103865243320929
2020-11-27,14.203649849586537
2020-11-28,12.934655926214187
2020-11-29,13.848603839155638
2020-11-30,14.200541208896347
2020-12-01,14.695110337165545
2020-12-02,14.43817064390905
2020-12-03,12.770416966857358
2020-12-04,12.183477100908172
2020-12-05,11.908394994924429
2020-12-06,12.435272061323918
2020-12-07,12.554799740446859
2020-12-08,13.12795953413785
2020-12-09,13.920750136556913
2020-12-10,14.066642376236409
2020-12-11,13.43689756646775
2020-12-12,13.06556845812907
2020-12-13,13.146183214313517
2020-12-14,14.383363286403425
2020-12-15,14.550409002385083
2020-12-16,14.251245216644378
2020-12-17,12.348703845635281
2020-12-18,11.676841061062298
2020-12-19,12.500329251579723
2020-12-20,12.225862150457752
2020-12-21,12.166368675623431
2020-12-22,12.62511988087308
2020-12-23,12.53190949942139
2020-12-24,11.624310650284205
2020-12-25,13.541199346737315
2020-12-26,12.491787711685436
2020-12-27,11.77972195403708
2020-12-28,11.555624628129852
2020-12-29,9.87632088705634
2020-12-30,9.549398960607075
2020-12-31,9.731084572315535
2021-01-01,10.122927839087977
2021-01-02,11.164195649949747
2021-01-03,11.746749130000346
2021-01-04,11.492028239678636
2021-01-05,13.416171673577045
2021-01-06,12.609670455435353
2021-01-07,12.258570740787125
2021-01-08,14.098419572675034
2021-01-09,14.914655877242355
2021-01-10,16.52325304231188
2021-01-11,14.362027354343141
2021-01-12,16.022211908846316
2021-01-13,16.051488632412497
2021-01-14,16.789545039859807
2021-01-15,16.8538093289913
2021-01-16,18.061766678781726
2021-01-17,17.977799523037543
2021-01-18,18.347057216680597
2021-01-19,19.306963197929072
2021-01-20,21.529432160396507
2021-01-21,22.73668521355209
2021-01-22,22.291452344369393
2021-01-23,22.129560612173854
2021-01-24,23.093164739055467
2021-01-25,22.374373869567837
2021-01-26,21.26084218015917
2021-01-27,20.490266084820362
2021-01-28,20.0025564039698
2021-01-29,19.847027474822365
2021-01-30,20.65826926104277
2021-01-31,20.66458318962872
2021-02-01,21.439342554279406
2021-02-02,20.724386079925115
2021-02-03,20.967704159189825
2021-02-04,20.17189099666463
2021-02-05,20.740822948060885
2021-02-06,19.270649163361178
2021-02-07,19.57817033301122
2021-02-08,20.034814269687633
2021-02-09,21.510244636650683
2021-02-10,22.283601044968904
2021-02-11,21.279288695618483
2021-02-12,20.875941205039574
2021-02-13,20.964963053288724
2021-02-14,21.582187806046452
2021-02-15,22.552834286806284
2021-02-16,20.918037098508794
2021-02-17,22.021974173848903
2021-02-18,20.445778273689104
2021-02-19,19.6515801782089
2021-02-20,19.533608470723706
2021-02-21,19.427378076238224
2021-02-22,20.016075204212175
2021-02-23,19.577298073723
2021-02-24,19.353812793101643
2021-02-25,19.458153616538066
2021-02-26,19.155515857748735
2021-02-27,18.81292927979286
2021-02-28,18.347167610407006
2021-03-01,16.563692429064343
2021-03-02,14.324791740131394
2021-03-03,13.333808653943164
2021-03-04,13.883105320862567
2021-03-05,13.211946330701611
2021-03-06,14.218665591014146
2021-03-07,13.599215332444153
2021-03-08,12.372220600861526
2021-03-09,12.817864541943896
2021-03-10,14.505514421906083
2021-03-11,15.312277885089937
2021-03-12,16.02546285077247
2021-03-13,14.916539648891316
2021-03-14,13.263510688646528
2021-03-15,13.375116359293962
2021-03-16,13.66269671144398
2021-03-17,14.106140726151986
2021-03-18,14.100648731541433
2021-03-19,14.201203775793628
2021-03-20,13.866711719533532
2021-03-21,14.022857890054608
2021-03-22,12.723649636166877
2021-03-23,13.08818345548692
2021-03-24,13.264777904037397
2021-03-25,14.270317652678445
2021-03-26,14.368797725620857
2021-03-27,14.936053908710731
2021-03-28,15.186250632687734
2021-03-29,14.956868287213458
2021-03-30,15.502974908685902
2021-03-31,14.283058118641005
2021-04-01,13.738229217444093
2021-04-02,13.96998748512234
2021-04-03,13.630933758721952
2021-04-04,14.955046398345747
2021-04-05,17.73499899486365
2021-04-06,18.859603075915544
2021-04-07,18.559016562750053
2021-04-08,20.433477011150238
2021-04-09,21.068861621586983
2021-04-10,22.63694760769102
2021-04-11,23.04276328126693
2021-04-12,22.099894312232678
2021-04-13,23.23071580825733
2021-04-14,24.471365612328047
2021-04-15,23.03207309936273
2021-04-16,22.948626203394852
2021-04-17,23.194914151158972
2021-04-18,24.211209977216665
2021-04-19,24.109561580248677
2021-04-20,26.29242805959759
2021-04-21,25.362364690922767
2021-04-22,26.364392877192305
2021-04-23,25.656979362682925
2021-04-24,25.53852218933772
2021-04-25,27.25572685155299
2021-04-26,26.9979316428117
2021-04-27,25.768888170192447
2021-04-28,27.708244238087605
2021-04-29,27.200983416750525
2021-04-30,27.68561007069919
2021-05-01,28.04025953771994
2021-05-02,28.929075278420953
2021-05-03,28.89201196003004
2021-05-04,29.182361815711342
2021-05-05,30.925459741914715
2021-05-06,31.561788690277208
2021-05-07,30.1436766971808
2021-05-08,30.007704266294294
2021-05-09,30.53229814261726
2021-05-10,29.49941057452713
2021-05-11,31.225906476817997
2021-05-12,31.557901094557742
2021-05-13,31.50090338400363
2021-05-14,31.04930360825326
2021-05-15,30.313973168357762
